Word,Count
THE,25
OF,23
A,16
TO,15
AND,12
IT,12
IN,9
FOR,7
ON,7
OR,6
TEXT,6
WORDS,5
AN,4
ARE,4
AT,4
FROM,4
SAID,4
SOME,4
THAT,4
WAS,4
WHO,4
WITH,4
ABOUT,3
AMERICANS,3
AS,3
BE,3
BLOCK,3
BY,3
EVEN,3
HAVE,3
LETTER,3
MONDAY,3
NO,3
SURE,3
THEIR,3
THERE,3
WERE,3
WHAT,3
ADDED,2
AFTER,2
AFTERNOON,2
ANYTHING,2
ARTICLE,2
BUT,2
CONFRONTED,2
DOES,2
ENGLISH,2
IF,2
I'M,2
IMPORTANT,2
IT'S,2
I'VE,2
LANDSMAN,2
LARGE,2
LOCAL,2
ME,2
MILLIONS,2
MY,2
NEVER,2
NEWS,2
ONE,2
PARTS,2
PRINT,2
RESIDENT,2
SECTIONS,2
THEM,2
THIS,2
THOMSON,2
TIME,2
US,2
WHATEVER,2
3:16,1
450,1
500,1
ACCOMPANYING,1
ACROSS,1
AGREEMENT,1
ALL,1
ALLOW,1
ALOUD,1
ALSO,1
ALTERNATING,1
AROUND,1
ATTEMPT,1
ATTENTION,1
BEFORE,1
BEWILDERED,1
BINDING,1
BLACK,1
BLANKLY,1
BLURB,1
BOLDFACE,1
BOMBARDED,1
BOSTON,1
BOTTOM,1
BREATH,1
BULLET,1
BURIED,1
BUSINESSES,1
CALIFORNIA,1
CALM,1
CAN,1
CAN'T,1
CASCADE,1
CELEBRITY,1
CHARLYNE,1
CHART,1
CHICAGO,1
CHILDREN,1
CHUNK,1
CITIZENS,1
CLICK,1
COLLECTIVELY,1
COLORFUL,1
COLUMN,1
CONCENTRATION,1
CONFUSING,1
CONSONANTS,1
CONTAINING,1
CONTINUE,1
CONTRACT,1
COULD,1
COUNTRY,1
CULTURE,1
CURSING,1
DALE,1
DAUNTING,1
DAY,1
DEAFENING,1
DEEP,1
DEMANDS,1
DESPERATE,1
DETERMINED,1
DETROIT,1
DIFFERENT,1
DO,1
DOESN'T,1
DUMBFOUNDED,1
EAR,1
EARLY,1
EASE,1
EASILY,1
EMBEDDED,1
ENDING,1
ENDLESS,1
ENOUGH,1
EVERYONE,1
EVERYTHING,1
EVERYWHERE,1
EXHAUSTED,1
EXPECTS,1
EYES,1
FIGURE,1
FINALLY,1
FIRST,1
FLOOD,1
FORGOTTEN,1
FRIGHTENING,1
FRONT,1
FROZEN,1
GAZED,1
GET,1
GIST,1
GO,1
GOVERNMENTS,1
GRAPPLED,1
GROUND,1
GROWS,1
HAILSTORM,1
HALT,1
HATE,1
HEADING,1
HEARD,1
HELPLESSLY,1
HERE,1
HIGH,1
HIGHLIGHTED,1
HIGHLIGHTING,1
HIM,1
HIS,1
HOLDING,1
HOPING,1
HOWEVER,1
HUMOROUS,1
HUZA,1
I,1
IGNORE,1
ILLUSTRATION,1
IMPENETRABLE,1
IS,1
ITALICIZE,1
ITALICS,1
JANET,1
JUST,1
KIND,1
KNOW,1
LAND,1
LAST,1
LATE,1
LEAST,1
LEFT,1
LET,1
LIKE,1
LINES,1
LINK,1
LONG,1
LOOKED,1
LOOKING,1
M,1
MAINE,1
MARK,1
MASS,1
MAY,1
MEANING,1
MEDICAL,1
MINUTES,1
MN,1
MORE,1
MOUND,1
MUCH,1
NATION,1
NEXT,1
NOTHING,1
NOTICE,1
NOW,1
OTHER,1
OUT,1
OVERWHELMING,1
OW,1
OWN,1
P,1
PAGE,1
PANICKED,1
PARENTS,1
PAUL,1
PERCENT,1
PERHAPS,1
PHOTO,1
PHOTOGRAPH,1
PLACE,1
POINT,1
POINTS,1
POP,1
POSSIBLY,1
PRETTY,1
PRODUCT,1
PUBLIC,1
RANDOMLY,1
READ,1
READING,1
RECALL,1
RECIPE,1
RECOILED,1
REFERENCE,1
REMAIN,1
REPETITIVELY,1
REPORTED,1
REST,1
REVIEW,1
RIGHT,1
RISE,1
RUBBING,1
SAME,1
SAY,1
SCANNED,1
SCHOLARS,1
SCHOOL,1
SCREEN,1
SEARCH,1
SEEN,1
SEGMENT,1
SEMBLANCE,1
SENTENCES,1
SERIOUS,1
SEVERAL,1
SHELTON,1
SHUTTERED,1
SIGH,1
SIGHT,1
SINGLE,1
SKIMMED,1
SLIGHTEST,1
SLOW,1
SO,1
SOLID,1
SOURCES,1
SPECULATED,1
ST,1
STARED,1
STRETCHED,1
STRING,1
STRUCTURE,1
STUDY,1
SYLLABLES,1
TAKE,1
TEACHER,1
TELL,1
TEMPLE,1
TERRIFIED,1
THERE'S,1
THEY,1
THEY'LL,1
THOSE,1
THOUGH,1
TITLE,1
TOP,1
UNABLE,1
UNBROKEN,1
UNDER,1
UNFAMILIAR,1
UNFAZED,1
UNINTERRUPTED,1
UNSURE,1
UNTIL,1
UP,1
UPON,1
URGENT,1
USER,1
VAIN,1
VIDEO,1
VIRTUAL,1
VOICE,1
VOWELS,1
WAILED,1
WANT,1
WASHINGTON,1
WAY,1
WEB,1
WHEN,1
WHICH,1
WHILE,1
WHOSE,1
WHY,1
WILL,1
WITHOUT,1
WON'T,1
WORKING,1
WORTHWHILE,1
WOULD,1
YOUTUBE,1
